name_user,reason_ban,time_ban
Y9,J7LKX5S,1334797633000
X0WM6KDH,TYX3AGMIC,1268207351000
WWHHGMP,EI8L6UH,846039615000
HGOOCWYSAR,D,1056673391000
B5E02G8CTR,LPDMRN514,129080288000
YZL0MWJOZ,36D,1389538435000
Y,XWDAEMNINQ,77432944000
QFBCP,LP9ENIZ,144856777000
GRFXBDWO,HZWGN,553238057000
J8TIFCKKSN,S6,266016969000
16R00ESUW,UW6SK08OLL,4471058000
6TL4,RMVP,380491614000
HBST5GOQR,2X31WWAS,974192162000
VKQ322W,4C8KA,138136271000
Q06RGL57G,SCCYN,669803558000
O,P7QMPNY,489958708000
O4FRZ4,0BCSH,143851851000
ZD46DCMQIB,2H,599232395000
AKOK,C1RG1,221417903000
1,VVP3YDMU,598685251000
0DY0B0,RL28,1112763718000
6LRH,63,435374263000
XBPON3UV0,5,760455298000
L,HF5T6,333850128000
DB3ETLPV6G,MZ730R,1413597933000
0FCVR,Y3BITXP,164766379000
F,ZF,862415625000
0L2,PNIRO96AK,867999453000
BVP6,LY,723781570000
V4MI,3,633509283000
764VSQ,7POLU5,1282524748000
OA,WX6NRAL,689815222000
HD,RV45TUUB9,858565276000
YKVP0,IX8WKX,712542592000
ZM0DE,5XPX0,364623318000
UI,CM3IQHN51,1784298038000
BY,89GDBSTJX,864985428000
RDSR0WJR,RK,690606801000
SN04,K,59994986000
DG47D7,T5,1825824018000
4,COVNJQ233,421793386000
KMJX2CJF,1C4BBJ,1476885651000
ZE,VQFR,1605183382000
01AVCJ9WY,J,180460315000
DEGTK,N0GZCC5MD4,809824278000
WR9O,7AA,352530642000
MQDCR1,EE,865789783000
9ZSJT,YZQQ4Z,695797335000
YXNWJXPVTP,2S5E35KFLF,975103622000
EB1YHD0,A3XH85ICYK,473118908000
RYW451RCL,GECC9SA,360268395000
A5SS,DNFI,981264869000
WUT,YUQQXPHV,1463210002000
XT9CEHR,IHGU3O0YQ5,1811514216000
XSKGH1XA3,537,517037771000
66BJJ,6C,1352719050000
IS7Y805,C,551445191000
D2UN454HA,65MY1L,1769716859000
KX,AS0UHKHR,292389872000
F8,WHXXOZ,1444809874000
O6XED7UR1Q,BOMNTMY4HT,1785309069000
32U,7K40,169237671000
LNJETVX,E,1552009032000
T7I,A0U1K8OS2C,757490375000
P3M8NDOT,C6B,666958687000
3BEL,YOZO7,946483435000
XFIP1ALNP2,W7M56KSKR,1158169252000
USP0O,4A9M,179324830000
9NKG4MB3SX,JQCB,487998768000
NDM7GFPK3D,O8S3V7UY,513866524000
75V2N3,B0I005,190803370000
QF1MNGXVU,MJU,871504815000
3HP,8471B,522128980000
JI4WE0,VI9SZM1IRR,1460781717000
07A,C6GZ,147610988000
SD48Q,H0E5YWNX,1171249550000
80MF8N,8GG5SS2,291514949000
JYVWA64EZ,4MZZYO,1613186474000
8QRJN3YO,5TA9SHI,1632720664000
N4H,M9E3TUV2,696339830000
9IMU,6HWWN6ERM2,644546873000
V1SLJUTH4,W,1802513047000
AVV,EIAB,78850656000
0BV027I2,PG,492375446000
QLFGB3,2YU,1354877605000
NES,ZE,1023507029000
64O5GY,DGX49,948558473000
J9XC79W3,S,8894485000
KRJW6Z,5PWID79P,1032026078000
V3PM5,EXL0H,303073993000
R,1XAHFZLP5,1775444771000
BT0PNMVN7,S378R7T8FG,841232021000
N4848GIJNZ,XO9R1GZ,1558109041000
E7YF3B,KCDJ1BI,1220483056000
BGTV,SFSRIXIUP,1231461994000
HAK3DEWKD,0Y7RD8XWP,23620764000
2,3GKM,1136065868000
0BMG,70W7E,106874460000
Y0QFPYE,0FUT8L0TAR,1165324327000
7DPBQ3,67NZXT,1218258623000
F9U9O,J,732759020000
F1C,8J24XCY,1729277092000
2L72C34N,6JRD64M,194833508000
EVELMZIB,7,1335620693000
HM,1,550640037000
7KLHWHS,8W7PYA7,511477915000
KFSAW,A41F,1456509791000
H9,C7RF3,124855112000
OW7YU,36M,1161543088000
YSSX,H4EOOPKCK,1545666829000
67I24TC0,0IZTQP7N,1731309789000
R,Q6RKWIPTHF,1793314958000
8M8M5S,A1MI31L,991954481000
ZP,I,995457796000
6WPT6T,OGRBA,708313731000
B8OZ06,23WR6,1149613037000
M,E9MGQ,1875506037000
K9BKOU,3GKKV,1575786804000
2MF3B,849B7R5MS,353597157000
PH60YDPG,IVSJW,970173255000
1ISKBS,CKZMSQA,741427690000
D,L,1037539162000
RHE,WFWX2H0H,1235309088000
3TC2AK,IGV,1003190472000
TU3,B8JY5ASX,62569760000
ZF8O8Z,QOJ8JZOEF9,1176217157000
5KV705F9,2N605TA,103657199000
I3PR,AXE5MYQ9T,1403647313000
OYPS9,MND,1178321700000
Q0BYHBNKZF,KRU4,409175966000
X4E0YZT,5X,704168279000
9AJ42O1RIX,5,812376765000
33C0VCN,85GE4PJPY0,168393760000
SV35F1ON,F4S,1568918094000
09J8B9LP78,US,235288400000
M4DLYG,TEQC,177677373000
CMZ2UE,EQ,904692896000
T58DS,GP5P77B,1756537332000
UUVG1JSHH,NW1G6S,863304973000
RRUH3PN,EOD6GPM1QC,319553512000
9D0FGWRJ1V,CWK5P4O8,1640347249000
