name_user,reason_ban,time_ban
Q,6174FR92I,1546570114000
D,I1,509318941000
PW3M,IBSY28P4,1648240743000
ZBVJV0C6,D6ER6,1702583275000
1G,MI98DB7,1352435374000
76PDEGW,I,1114547409000
DQ0U8DZURS,5,124142096000
ZU1IHMN,28,1589889467000
5I6QV6,6DU,1620455759000
C0XX3PQT,B1ODYUJ,307882962000
FW,D,1194849165000
LY4R,ZVH39Q,1844750798000
2WWK2S,SWZ,625878398000
6XWIB,QR,1880927075000
CG694T,NNFHPVV,790648406000
YM1FC3G,1RSYU1RWH,419341962000
WUCSFXEY3,U569CB,614147934000
66WSTU,U,1537452270000
R7MM,OAY9,211548913000
W7V6,KQ4DB6,521906637000
SASUDKTVJ,EGLA3,69242292000
Q06MS,P,402341942000
Y9AV,NK0RCPD1D,147515371000
NHO,I7YN,569024215000
15YMJO6L99,68,3006549000
TLRMKB0SGR,KPK6LA9Z,159439526000
65S61COAR,ZU,884882661000
2IY3BR3U2K,DAX3,1578887487000
R050,MY3ZVJF13W,1652818261000
K,4W,1308779480000
D0DPNYF2JE,CE9M6,398618596000
Y,FVN5CY7H,1451329486000
DZ06H6Q2VS,0ON1PPL6I,361936071000
ZB9Y30N038,WMO60MSY,1124277524000
XRISVL,ELNP6PA15M,40916843000
JMD,EA2H,1744668176000
M673C8,F8Z18Z,987456063000
SS23,YWF9UC4Q,1539996994000
D3,D7W8674G,1461758634000
37BSU9OS,8PSB4HKMKV,752125604000
YSDEE,G59UWNNQA,1545114901000
NWFCDIM0YF,KFOUO3,1510071208000
2,F,954203053000
CBVQ,KE96,1717863697000
6Y8X,EI,907039781000
G76I3,SBI,836573675000
HDC,CAR,217932236000
ECAM3U8TTU,T7H,1757998023000
5U9O8LRN,87IP1MR,989791927000
7CFMD2HFIM,D2T,1466883708000
EK,PZ63,861885871000
SL,615BH7VS,1293600716000
G4,G1,1558405243000
NZRUM37,LNHC8P3QA,762857760000
9EJ,AL,1630717230000
YCOBI2J,5YPZR3XE,200114440000
43FCO,2U88JEQ,1656580931000
P,7,1736899096000
DN43,EUE5B7Y,858654396000
Q7A,H8PBA82JJ,419633259000
Z7Q,AE6CQVO3I,1392240452000
U,3,943604442000
62D,RTAJJ82CA,1750292859000
2S,LG75UM,1329442566000
FIQCYOI7AK,66,659095807000
6,HLF6201,693347299000
ZCCWTA8G,8VY,1214551203000
H58OW5,O3ERVS,1413200418000
EPM4O,YTNS0PUYRF,651994046000
O1SN2GBE6,OT,404157819000
EOHP0XZ,S0EGNL8,1382086642000
HF3U49VW,IDG,800980018000
0S2V,3ZMM,578307261000
3MCW,839V,1150111927000
EYH38AW,Z,444144035000
Q,61ZDWRB,796673739000
WLJ,E09A4BZ,736714526000
L,BJPORL8SK,832548226000
8,E88AWR,481550059000
X5FIDKY,73YKV26CA,734844366000
S7B1K,O,133461601000
BH2N25,2GHP,104718673000
L89ZK1F,39NYJTKR,1544036043000
FWJ38L3,6OYT,1326684717000
FBZ,LHP9XVJO00,1363137045000
3PG2,TO57J,954544916000
YL9D8KLMMF,7WS9OYX,191520569000
Y50,BI1Q,1273040340000
CG35822EGW,6GPEXL,1133648326000
EYFTD9DAYL,QV44JX,63167442000
AGLJ1O,F,1150439340000
NQ9,DGR7A85ANK,1166953172000
RLAW1WC0,QUBNVG,1790938416000
15J05U,GWMMKGOJ,106619082000
RPMCY,SS7HAVBN,324471741000
PKJ0X,5TDI1FWGG,272695062000
H,R,1085485517000
3VQ,YQCHXQYG,1845518015000
DSAS,2,967522775000
D,LPY9SJI,1010195683000
3AW2V8MI,ALJODOCTNT,713465320000
5CWL1ZDF,POYDPBL,248226493000
Y,57PNJYIFV,428998119000
3CF,LC7YXNK,1582109322000
88ML45K,03CPD4BKUY,870736593000
9AVFJX9GS,WF0IE3XJS,1381689723000
BR7XKY3LTE,V9T,1042851469000
O,CQ2DYQB5VW,674833845000
GTBGLG41,BVZ7,1303866905000
P4LJSGE,BMQEYGHZ05,1052541938000
EDXV0TQ,KGH,1052666236000
N6REB0,QHE,116396591000
2F5VCA6HI,X073L8,960995977000
VM5ZIXJL,KC3SJORT,655366705000
4,FIVFRJ,873578384000
1W6EK,MVY,1808213261000
1M,OAOP,782426305000
8ZJI46UOT,6NF4O7O,1606131789000
ARQPFT,M,973117181000
QGT,2,1389823847000
CBXK8X,2,1619017436000
3HRPDV,2H4V5IE,1438298260000
LO,N,1524996127000
H7XI9AMKDD,1UIA9,1349847279000
KZN8R,ZZ,364476705000
G,W3,1151961376000
9FYB,GPPT9B265,57740684000
PXC7,D1IDSM6,681481283000
6U80VMA,ZFA44PQ8Y3,740073814000
GFW4U43,BU,336859451000
NC,IJZDAE1V,666599119000
N3,BCP,1640637905000
G7MEK1NDR,M4R3GNMD3,535376024000
SOUVLMA,6,1122877310000
OC99F,D49O156,859265788000
Y7VXI2,3,1019847867000
5RJJ,92,1508943573000
JZ,876,1779410163000
HJA3TJ,E1HYQEO4,634643001000
4JUMWM,496K5NMTCW,111243907000
GI54RE,6,557251526000
