name_user,reason_ban,time_ban
65J1L7U3,4PLPDZGPT,1466248202000
BDL545L2M8,D01ZULZ6DV,1410399818000
KN,C50V0RM0,1531298654000
H,ALIXP3CME,706578574000
Q,ZTO1,1822256668000
WSV4QL,QSLMW8,1852502693000
UG6,KDBEHSS1N,1340954148000
WQK5P5ZTR,F5OYODO4,1454560989000
RN,VUGWM,594824766000
1R2S4M7K4,5CB,1440120679000
7MZQOJ46,XO6PPTV,25261112000
72WK61FI62,707C,739148610000
C29LXT9,S06N,1803885861000
IDXJ,80,35687109000
IU6,TSR0RN,1555599641000
5XYVDBODK,3XQYHCMZ47,622086610000
DN,SZ,1517293153000
SOG39,A4SWR0USXW,1124596053000
Y46A,W,126936073000
LT6DC,FCSZKV,207842963000
3WCZ2OX,4SD,1539955544000
27IHJ6R91,IRH7UZ1,609704787000
HDAU1,RSWROU,1574351748000
TG6MJOATG,FO0SVCKAU,1700645233000
QVRWNLE7HR,S15I,207333342000
1NBULT8B8,7G1T,1725123660000
EA7S,YSY90CDDD,1729351549000
3LF44I,0MPEE589,37856344000
3A4,UH5W72JL,1478052669000
QI,0J55,1109263267000
1MPU4864FM,PJFU6P843,537285681000
HXOLP6ZHE1,E39,490272180000
ZTQ,8N2I,1284361826000
VS5G930G,XBEOB3H5L,1642210093000
369XQC4,A69UYOFNT,454195149000
Y9LO,347K,22012603000
8X,XRKCBLY6,205415531000
2VVU0Q,1DW41HNF6I,1780180669000
H4,C4WAWDR0T7,1001973030000
LDYRR73,1Y388O0GNK,85214368000
DWJ,987,543959260000
AOGCPCU,JNS1,949363422000
NJV8NT,RALNY,620238798000
A110ITS,S7EUNPR,679215269000
RKHUFMG,4FIYN,1579086957000
4PANP,QCDYMDSY,105050231000
S7FNNINAIX,891QD8UUUQ,1604679359000
6PWG,ARCWAAR878,970102018000
05R,LB1IXS,1427731588000
S1W97A0OUM,UBWOKXP,1775865787000
CRSX8BL44Y,SPPGEZ,565534810000
RB5ZCB,JIK0ZX1,732035045000
V9C,EGN0VC,427047515000
X,77UJ5T,1407654064000
OMDLI,B780IVL,100652401000
XMLX0,7OPQ0XXUSP,527872370000
CGPG,JY3CZDZ0LH,84596515000
TDK8,4XM5,753342558000
MSZ8YKONL1,RF,934293712000
5M08UB,30Z,915909523000
DZ9ZN,FA5VZ,1805349405000
1P7W,7XR52L,151675698000
YNBAPEU1N,M7,1420678757000
JMV,WK5,1335489683000
HZ0XLZ2G,5LVOMJRH,535812920000
G,30UPFM5R,750769176000
TLOKX8S,ILM5FGRXET,1054484853000
E6M3K5U0XU,ZMDB8IN,394419377000
HLC81,KM46CE,1101690937000
4G3BOWYCH,1,1006642423000
JIW5,O,1306171669000
VV3,FFU8Y06,1328990243000
J93VS6XCYC,HOIOCFOLHJ,745482620000
1URSND4X,29WT3BML13,1654152714000
W7I,OR,180691713000
OCX8MI3TI,ERJO2Y0E,1584922234000
7IIH19WUV9,L,118008050000
VCG3OO9,5NMTX1OQEH,18018888000
UZF33PC,XN6ZZ,566847017000
W8NT,9DAV,293582415000
DX,M9TT53,1109593356000
6OMCET0Q,G,210439904000
3E,I,889406423000
CYRIH,5WB4,1063014948000
0AW7EPM,P4S5,1824520597000
CD807GMDBE,M,565313166000
8LCSAYF16Y,L,1225348083000
WX6,R,1146327323000
E45,0TL1,480797813000
PMZ,0WF,1187100777000
PD,55LSB8,770227226000
IJR6XZO,TOSZBMNL2,1317034931000
D5K25G,KDFFLR8LA,446517883000
UGHJ,OJIUBX4F,141309477000
KBJTGT2,4WA1,73650548000
1JL,UZ,1384073629000
