name_user,reason_ban,time_ban
L,RZZE4GT,1195676561000
AE,D3DXRGXYQ,1731820670000
CZHC,94P,750299419000
Q5NMKR7TZB,JX2TAND,1261626250000
LYOX,ASYV57FT5G,1754760708000
19T9WFZX,5,81520567000
5AN36ND4,CRNYFWR,52892610000
RK,MQJ2ZMAOYA,388991447000
HL0XH,5CT,1084617423000
DOQ5F,KKN5RPP2Y1,250285639000
6S7OL6LF,6JLA,1564150003000
HHVENQC14,ELIY9VKPQ,1438575764000
QD5UAE,14UMB78,1610519524000
TBMGGIX,2YKT,842830769000
JU27Y,K9,1047881615000
TRM9EAP2,2MW,23696953000
BB,ET843IKV7,508763889000
36JEUXQ6,YXG35CELH,1486049940000
1JEMNY0ZR,A0O6HYW,1022833372000
9,R,362604791000
G4DFQ2BB,3HSZR,115504481000
MI10RN,WV4987X,727965889000
2775,KJ3EJJ,1089327266000
I1YSA5ZX,KM96SN5IW,191584092000
L4C6UC7Z34,H3P,483590002000
XX,AXNB0X,1715123992000
XAWWWV,TO,1876474572000
5JSEB6K,TVJGAA,234675310000
3BVEDTL,648U,1778803037000
1U5CTW7P,K4LW,1757084965000
8T,EIZ85,1683913975000
B8YFWXAUJM,GQ19J,620029187000
W0Z79X,C,1233740522000
ZGRZ,0NZ,1700441332000
52AC,JTMDJUFFHD,1582023714000
QW5382JW,TR2VJ,257278592000
91,6A5G,190792084000
8WEN403Q,Y05BDM7,543920181000
SS8,1JUY,323304569000
VCYVSW9,4DR2,1372187861000
YCRK8KZXN9,JG2AO4UBCJ,802980584000
R5740,2UMK237LHQ,246223483000
DXW59N,4NIK03ZAS5,399407454000
VFAKU7XT,5D,1558618050000
IHINKUXU48,M4GT,1499922406000
CYP5,9QLBR3MZ5S,1676381854000
HB2D2DN,VT2,1434966981000
1UZUT6KU,NM0NNMPQ,1849930687000
HDG5V4,0JOYLFW,1300706245000
L,30BUEAA9T7,1504590416000
WE,FJGAJ,1317196196000
O5VZYOI32Q,RLD2IP2D,272550947000
X4,0U4CN75IA,1357727022000
BPN,Y9YIXOL70L,1143537960000
AS35W24TT,46W5,1122968557000
UO9MI7RF,LW,437557254000
YRCSO,6VO6ZLHXU,1813632877000
34Q,EFYC,1621433330000
3,IF7C8,1237133785000
IEK1,D,1605969065000
JHOL,S181S,1223804554000
C4Y8FAFN,7,14996371000
Z4WVM7UQX,68,1732475187000
X4,LTM2O22BP0,749556016000
CA,TKODL,1262796235000
RCZH6RDF7V,VPAJEBRA,753975412000
MNDH,VZQDBZEQ,257102355000
QASUZ70S,3,1734678970000
6AF5,A,924765690000
WKR,URT5,279922931000
U,MCGTLTQV,1559673869000
2RI,190K34SO1,787867936000
NVITPFZ,GV2NSS,85854366000
AZSTSO,N55,1131223148000
8RB92SLFC,O1NW,574376726000
CKI,U78Y9,1517049544000
R3PC9QF,XB4BHR,1519633179000
Y,7SX1,343745320000
8CBLUX9KYP,YV82,1061647218000
IGVO7,0V1DJ,1351577311000
GIOOALY34,WSPV,929024931000
F,QI7,536269046000
T,PDNPKZCGJ,1618514612000
96OC4PNZ,MKT,1684011747000
41LTI,0D7VI7,1386625197000
S,UPQYEA321V,1157097829000
XU,02E8HATH,344085127000
2,OPP6,1774001845000
DQRNVVE6,KX,1577532210000
V0DCN8GKKS,NV6DAOO,649271793000
WI6LU8PU7,OI,981673256000
YCS7M,3IEF09,877420874000
7F2ORK,B0P5GSOLV0,1759173954000
66BP0H,5BTKSK00,119501481000
X,4JQJPH,664568549000
1O2ON8VR8V,RM27,205163807000
